X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
Metz18	18.6	11.3	29.9	13.4	11.4	14	2	0.2	1.5	20.4	2.5	2.1	7.4	3.5	0.3	1.8	1.4	26
Troyes18	17.2	11.8	29.1	11.5	10.2	13	1.9	0.2	1.7	26.6	3.4	2.6	6.8	3.6	0.1	1.8	1.6	33
Monaco17	18.5	10.4	28.8	13.6	11.7	12.3	1.3	0.1	2.2	24.6	2.3	2.6	8.3	2.3	0.1	1.4	0.7	95
PSG17	17.2	8.2	25.4	13.1	10.7	10.7	1.4	0.1	3.3	16.9	2.3	1.8	7.5	1.8	0.1	0.8	0.8	87
Lyon17	19.8	10.6	30.4	12.6	13.6	13.5	1.6	0.1	2.7	21.7	2.4	1.9	8.1	2.4	0.1	1.5	0.9	64
Marseille17	19.2	11.4	30.6	14.6	9.6	13.3	1.8	0	2.7	21.4	2.5	2.2	7.5	3.1	0.2	1.8	1.2	62
Nice17	16.7	8.6	25.2	11.3	14.9	11.3	1.5	0.1	1.9	22.1	2.7	2.9	6.9	3	0.2	1.6	1.2	78
Bordeaux17	20.1	10.2	30.2	13.3	13.1	11.6	1.7	0.1	2.5	24.2	2.6	2.3	7.5	3	0.1	1.6	1.4	59
Saint-Etienne17	18.6	10.1	28.7	15.6	11.7	12.7	1.4	0.2	2.4	24.4	2.7	2.2	8.3	3.3	0.2	1.9	1.2	50
Dijon17	21.1	10.9	31.9	16	12.1	13	1.8	0.2	2	24.9	3.5	2.4	8.4	3.4	0.2	1.9	1.3	37
Montpellier17	16.7	9.8	26.5	15.1	11.8	10.5	1.2	0.1	1.7	23.7	2	2.1	8.9	2.6	0.1	1.4	1.1	39
Guingamp17	17.1	9.8	26.9	14.4	13.1	13.1	1.5	0.1	2.6	24.2	3.5	2.7	7.4	2.6	0.2	1.3	1.1	50
Rennes17	19.6	10.1	29.7	14.6	11.4	12.2	1.5	0.1	2	22.4	2.6	2.6	9.2	2.5	0.1	1.4	0.9	50
Lille17	17.3	8.8	26.1	14.3	13.7	14.1	1.5	0.2	1.5	23.7	2.7	2.4	7.1	2.7	0.2	1.6	1	46
Toulouse17	19.6	10.5	30.1	13.7	12.2	15	2.3	0.1	1.2	25	2.8	3	8.1	3	0.2	1.6	1.2	44
Angers17	18	11.3	29.3	14.2	9.9	11.5	1.5	0.1	1.4	21.6	2.9	2.4	8.1	2.2	0.1	1.1	1.1	46
Caen17	19.8	11.9	31.7	17.4	11.7	11.5	1.6	0.1	1.4	21.3	2.6	2.2	9.2	2.5	0.2	1.2	1.2	37
Nantes17	22.1	10.4	32.5	13.2	10.2	14.2	2	0.1	2.8	23.9	2.8	2.1	8.3	2.3	0.1	1.2	1.1	51
Nancy17	20.3	10.7	31	16.6	11.9	13.1	2	0.1	3.2	26.3	2.9	2.1	9.9	3.1	0.1	1.7	1.3	35
Metz17	18.5	9.3	27.8	17.3	11.3	13.5	1.9	0.2	2.3	25.1	3.4	2.6	7.5	3.4	0.1	1.9	1.4	43
Lorient17	15.7	7.6	23.2	14.3	10	11.7	1.8	0.1	1.8	19.3	1.6	2.2	6.9	3.3	0.1	1.9	1.3	36
SC-Bastia17	16.8	9.9	26.7	15.3	13	12.1	1.9	0.4	1.2	25.2	2.5	2.6	8	3.3	0.1	2.1	1.2	34
PSG16	20.3	12.1	32.4	18.7	11	10.4	1.2	0	3.8	16.9	2.3	2.2	9.2	2.5	0.1	1.1	1.4	96
Lyon16	21.4	11.1	32.6	16	14.4	13.4	1.8	0.1	2.4	15.7	1.7	1.5	7.1	2.5	0.1	1.4	0.9	65
Nice16	20.3	9.6	29.8	18.1	12.9	11.9	1.7	0.2	1.8	18.9	1.9	2.5	8.8	2.7	0.1	1.6	1	63
Lille16	19.8	7.7	27.5	19.1	15.5	15.1	2.1	0.2	1.9	18.1	2.5	3	8.7	2.7	0	1.6	1.1	60
Bordeaux16	22.4	10.4	32.9	19.8	13.2	12.9	2.2	0.2	2.5	22.7	2.1	2.1	8.8	2.9	0.1	1.5	1.3	50
Monaco16	18.7	9.9	28.7	18.4	13.2	14.3	2.2	0.1	2.3	23.5	2.6	2.5	10.5	3.1	0.1	1.6	1.3	65
Marseille16	19.7	9	28.7	19.1	13.8	13.5	1.9	0.2	2.4	15.6	2.2	1.9	8.4	2.7	0	1.6	1	48
Montpellier16	18.3	9.6	27.8	20.8	13.5	12.6	1.7	0.1	1.9	18.7	2.3	2.7	9.6	2.3	0.1	1.3	0.9	49
Rennes16	20.6	9.4	29.9	18.3	10.9	12.2	1.8	0.1	2.4	17.4	2.4	3.4	9.3	3.1	0.2	1.8	1.1	52
Caen16	21.8	10.6	32.4	17.5	11.7	12.2	1.4	0.2	2.3	20.2	2.8	2.9	11.8	3.1	0.2	1.8	1.1	54
Guingamp16	19.7	8.3	28	18.3	14.7	13.4	2	0.2	2.1	20.8	2.9	2.5	7.7	2.9	0.1	1.4	1.4	44
Toulouse16	23.6	8.9	32.5	19.4	14.4	14.1	1.9	0.3	2.3	23.2	2.1	2.5	9.3	2.2	0.1	1.3	0.8	40
Nantes16	21.4	11.3	32.7	16.2	10.9	15.9	2.1	0.1	2.3	21.9	2.4	2.4	9.7	2.5	0.1	1.4	1	48
Lorient16	16.4	9.5	25.9	22	12.4	12.1	1.7	0.2	1.9	19.6	2.6	2.1	8.5	3.2	0.1	1.8	1.3	46
Saint-Etienne16	20.4	8.7	29.1	16.7	11.6	15.6	1.9	0.1	2.3	19.9	2.5	2.7	8.5	2.8	0.1	1.8	1	58
Angers16	19.3	9.3	28.6	15.9	12.1	13.7	1.8	0.2	1.1	20.3	2.9	2.9	9.8	2.4	0.1	1.6	0.7	50
SC-Bastia16	18.8	10.2	29	17.4	12.6	14	2.2	0.3	2	23.6	2	2.3	9.9	2.7	0.2	1.4	1.1	50
Reims16	18.1	9.9	28	21.1	13	13.6	2.1	0.2	1.7	19.6	2.3	2.6	9.8	2.9	0.2	1.4	1.3	39
GFC-Ajaccio16	19.7	10.7	30.4	21.6	10.2	15.3	2.4	0.2	1.9	18.7	1.9	2.6	8.4	2.7	0.1	1.7	1	37
Troyes16	20.7	12	32.7	19.6	10.6	11.5	1.9	0.2	1.5	20.3	3.5	3.3	9.1	4	0.2	2.3	1.5	18
PSG15	20.6	9.1	29.8	16.5	14.1	11.5	1.6	0.1	3.2	19.1	2.6	2.2	8.5	2	0.1	1.1	0.9	83
